gene	length	distribution
638	7	(prob=0.0004,cumulative=0.1791)
639	5	(prob=0.0003,cumulative=0.1793)
640	4	(prob=0.0002,cumulative=0.1796)
641	11	(prob=0.0006,cumulative=0.1802)
642	14	(prob=0.0008,cumulative=0.1811)
643	14	(prob=0.0008,cumulative=0.1819)
644	13	(prob=0.0008,cumulative=0.1826)
645	7	(prob=0.0004,cumulative=0.1831)
646	5	(prob=0.0003,cumulative=0.1834)
647	7	(prob=0.0004,cumulative=0.1838)
648	12	(prob=0.0007,cumulative=0.1845)
649	9	(prob=0.0005,cumulative=0.1850)
650	6	(prob=0.0004,cumulative=0.1854)
651	11	(prob=0.0006,cumulative=0.1860)
652	8	(prob=0.0005,cumulative=0.1865)
653	9	(prob=0.0005,cumulative=0.1870)
654	10	(prob=0.0006,cumulative=0.1876)
655	2	(prob=0.0001,cumulative=0.1877)
656	13	(prob=0.0008,cumulative=0.1885)
657	6	(prob=0.0004,cumulative=0.1888)
658	6	(prob=0.0004,cumulative=0.1892)
659	5	(prob=0.0003,cumulative=0.1895)
660	8	(prob=0.0005,cumulative=0.1900)
661	10	(prob=0.0006,cumulative=0.1906)
662	10	(prob=0.0006,cumulative=0.1911)
663	15	(prob=0.0009,cumulative=0.1920)
664	6	(prob=0.0004,cumulative=0.1924)
665	7	(prob=0.0004,cumulative=0.1928)
666	17	(prob=0.0010,cumulative=0.1938)
667	10	(prob=0.0006,cumulative=0.1944)
668	8	(prob=0.0005,cumulative=0.1949)
669	7	(prob=0.0004,cumulative=0.1953)
670	7	(prob=0.0004,cumulative=0.1957)
671	9	(prob=0.0005,cumulative=0.1962)
672	3	(prob=0.0002,cumulative=0.1964)
673	10	(prob=0.0006,cumulative=0.1970)
674	3	(prob=0.0002,cumulative=0.1972)
675	6	(prob=0.0004,cumulative=0.1975)
676	3	(prob=0.0002,cumulative=0.1977)
677	4	(prob=0.0002,cumulative=0.1979)
678	9	(prob=0.0005,cumulative=0.1985)
679	4	(prob=0.0002,cumulative=0.1987)
680	5	(prob=0.0003,cumulative=0.1990)
