exon	length	distribution
353	66	(prob=0.0007,cumulative=0.8702)
354	79	(prob=0.0008,cumulative=0.8710)
355	66	(prob=0.0007,cumulative=0.8716)
356	81	(prob=0.0008,cumulative=0.8724)
357	97	(prob=0.0010,cumulative=0.8734)
358	71	(prob=0.0007,cumulative=0.8741)
359	67	(prob=0.0007,cumulative=0.8748)
360	91	(prob=0.0009,cumulative=0.8757)
361	61	(prob=0.0006,cumulative=0.8763)
362	79	(prob=0.0008,cumulative=0.8771)
363	83	(prob=0.0008,cumulative=0.8779)
364	73	(prob=0.0007,cumulative=0.8786)
365	60	(prob=0.0006,cumulative=0.8792)
366	70	(prob=0.0007,cumulative=0.8799)
367	67	(prob=0.0007,cumulative=0.8806)
368	80	(prob=0.0008,cumulative=0.8814)
369	75	(prob=0.0007,cumulative=0.8821)
370	66	(prob=0.0007,cumulative=0.8828)
371	59	(prob=0.0006,cumulative=0.8834)
372	54	(prob=0.0005,cumulative=0.8839)
373	52	(prob=0.0005,cumulative=0.8844)
374	54	(prob=0.0005,cumulative=0.8850)
375	62	(prob=0.0006,cumulative=0.8856)
376	53	(prob=0.0005,cumulative=0.8861)
377	63	(prob=0.0006,cumulative=0.8867)
378	73	(prob=0.0007,cumulative=0.8875)
379	50	(prob=0.0005,cumulative=0.8879)
380	55	(prob=0.0005,cumulative=0.8885)
381	60	(prob=0.0006,cumulative=0.8891)
382	57	(prob=0.0006,cumulative=0.8897)
383	50	(prob=0.0005,cumulative=0.8902)
384	46	(prob=0.0005,cumulative=0.8906)
385	45	(prob=0.0004,cumulative=0.8911)
386	45	(prob=0.0004,cumulative=0.8915)
387	44	(prob=0.0004,cumulative=0.8919)
388	53	(prob=0.0005,cumulative=0.8925)
389	36	(prob=0.0004,cumulative=0.8928)
390	59	(prob=0.0006,cumulative=0.8934)
391	44	(prob=0.0004,cumulative=0.8939)
392	51	(prob=0.0005,cumulative=0.8944)
393	69	(prob=0.0007,cumulative=0.8950)
394	56	(prob=0.0006,cumulative=0.8956)
395	48	(prob=0.0005,cumulative=0.8961)
396	58	(prob=0.0006,cumulative=0.8967)
397	51	(prob=0.0005,cumulative=0.8972)
398	34	(prob=0.0003,cumulative=0.8975)
399	41	(prob=0.0004,cumulative=0.8979)
400	28	(prob=0.0003,cumulative=0.8982)
401	48	(prob=0.0005,cumulative=0.8987)
402	51	(prob=0.0005,cumulative=0.8992)
403	34	(prob=0.0003,cumulative=0.8995)
404	41	(prob=0.0004,cumulative=0.8999)
405	53	(prob=0.0005,cumulative=0.9004)
406	49	(prob=0.0005,cumulative=0.9009)
407	34	(prob=0.0003,cumulative=0.9013)
408	47	(prob=0.0005,cumulative=0.9017)
409	51	(prob=0.0005,cumulative=0.9022)
410	54	(prob=0.0005,cumulative=0.9028)
411	78	(prob=0.0008,cumulative=0.9036)
412	43	(prob=0.0004,cumulative=0.9040)
413	30	(prob=0.0003,cumulative=0.9043)
414	56	(prob=0.0006,cumulative=0.9048)
415	37	(prob=0.0004,cumulative=0.9052)
416	37	(prob=0.0004,cumulative=0.9056)
417	48	(prob=0.0005,cumulative=0.9061)
418	22	(prob=0.0002,cumulative=0.9063)
419	35	(prob=0.0003,cumulative=0.9066)
420	49	(prob=0.0005,cumulative=0.9071)
421	49	(prob=0.0005,cumulative=0.9076)
422	34	(prob=0.0003,cumulative=0.9079)
423	62	(prob=0.0006,cumulative=0.9085)
424	41	(prob=0.0004,cumulative=0.9090)
425	55	(prob=0.0005,cumulative=0.9095)
426	48	(prob=0.0005,cumulative=0.9100)
427	39	(prob=0.0004,cumulative=0.9104)
428	45	(prob=0.0004,cumulative=0.9108)
429	48	(prob=0.0005,cumulative=0.9113)
430	26	(prob=0.0003,cumulative=0.9115)
431	36	(prob=0.0004,cumulative=0.9119)
432	51	(prob=0.0005,cumulative=0.9124)
433	25	(prob=0.0002,cumulative=0.9127)
434	24	(prob=0.0002,cumulative=0.9129)
435	47	(prob=0.0005,cumulative=0.9134)
436	30	(prob=0.0003,cumulative=0.9137)
437	17	(prob=0.0002,cumulative=0.9138)
438	39	(prob=0.0004,cumulative=0.9142)
439	42	(prob=0.0004,cumulative=0.9146)
440	29	(prob=0.0003,cumulative=0.9149)
441	37	(prob=0.0004,cumulative=0.9153)
442	35	(prob=0.0003,cumulative=0.9156)
443	41	(prob=0.0004,cumulative=0.9161)
444	40	(prob=0.0004,cumulative=0.9164)
445	38	(prob=0.0004,cumulative=0.9168)
446	39	(prob=0.0004,cumulative=0.9172)
447	30	(prob=0.0003,cumulative=0.9175)
448	25	(prob=0.0002,cumulative=0.9178)
449	30	(prob=0.0003,cumulative=0.9181)
450	32	(prob=0.0003,cumulative=0.9184)
451	39	(prob=0.0004,cumulative=0.9188)
452	23	(prob=0.0002,cumulative=0.9190)
453	38	(prob=0.0004,cumulative=0.9194)
454	26	(prob=0.0003,cumulative=0.9196)
455	19	(prob=0.0002,cumulative=0.9198)
456	45	(prob=0.0004,cumulative=0.9203)
457	24	(prob=0.0002,cumulative=0.9205)
458	22	(prob=0.0002,cumulative=0.9207)
459	40	(prob=0.0004,cumulative=0.9211)
460	33	(prob=0.0003,cumulative=0.9214)
461	19	(prob=0.0002,cumulative=0.9216)
462	29	(prob=0.0003,cumulative=0.9219)
463	23	(prob=0.0002,cumulative=0.9222)
464	32	(prob=0.0003,cumulative=0.9225)
465	47	(prob=0.0005,cumulative=0.9229)
466	21	(prob=0.0002,cumulative=0.9231)
467	39	(prob=0.0004,cumulative=0.9235)
468	32	(prob=0.0003,cumulative=0.9239)
469	25	(prob=0.0002,cumulative=0.9241)
470	22	(prob=0.0002,cumulative=0.9243)
471	44	(prob=0.0004,cumulative=0.9248)
472	23	(prob=0.0002,cumulative=0.9250)
473	30	(prob=0.0003,cumulative=0.9253)
474	39	(prob=0.0004,cumulative=0.9257)
475	22	(prob=0.0002,cumulative=0.9259)
476	38	(prob=0.0004,cumulative=0.9263)
477	27	(prob=0.0003,cumulative=0.9265)
478	17	(prob=0.0002,cumulative=0.9267)
479	22	(prob=0.0002,cumulative=0.9269)
480	43	(prob=0.0004,cumulative=0.9274)
481	21	(prob=0.0002,cumulative=0.9276)
482	32	(prob=0.0003,cumulative=0.9279)
483	34	(prob=0.0003,cumulative=0.9282)
484	19	(prob=0.0002,cumulative=0.9284)
485	17	(prob=0.0002,cumulative=0.9286)
486	29	(prob=0.0003,cumulative=0.9289)
487	23	(prob=0.0002,cumulative=0.9291)
488	22	(prob=0.0002,cumulative=0.9293)
489	34	(prob=0.0003,cumulative=0.9296)
490	19	(prob=0.0002,cumulative=0.9298)
491	23	(prob=0.0002,cumulative=0.9301)
492	31	(prob=0.0003,cumulative=0.9304)
493	23	(prob=0.0002,cumulative=0.9306)
494	26	(prob=0.0003,cumulative=0.9309)
495	39	(prob=0.0004,cumulative=0.9313)
496	30	(prob=0.0003,cumulative=0.9315)
497	16	(prob=0.0002,cumulative=0.9317)
498	25	(prob=0.0002,cumulative=0.9320)
499	23	(prob=0.0002,cumulative=0.9322)
500	18	(prob=0.0002,cumulative=0.9324)
501	18	(prob=0.0002,cumulative=0.9325)
502	23	(prob=0.0002,cumulative=0.9328)
503	27	(prob=0.0003,cumulative=0.9330)
504	39	(prob=0.0004,cumulative=0.9334)
505	22	(prob=0.0002,cumulative=0.9336)
506	21	(prob=0.0002,cumulative=0.9339)
507	29	(prob=0.0003,cumulative=0.9341)
508	24	(prob=0.0002,cumulative=0.9344)
509	18	(prob=0.0002,cumulative=0.9346)
510	23	(prob=0.0002,cumulative=0.9348)
511	15	(prob=0.0001,cumulative=0.9349)
512	17	(prob=0.0002,cumulative=0.9351)
513	28	(prob=0.0003,cumulative=0.9354)
514	22	(prob=0.0002,cumulative=0.9356)
515	15	(prob=0.0001,cumulative=0.9358)
516	24	(prob=0.0002,cumulative=0.9360)
517	23	(prob=0.0002,cumulative=0.9362)
518	17	(prob=0.0002,cumulative=0.9364)
519	28	(prob=0.0003,cumulative=0.9367)
520	14	(prob=0.0001,cumulative=0.9368)
521	15	(prob=0.0001,cumulative=0.9370)
522	23	(prob=0.0002,cumulative=0.9372)
523	25	(prob=0.0002,cumulative=0.9374)
524	11	(prob=0.0001,cumulative=0.9375)
525	31	(prob=0.0003,cumulative=0.9379)
526	24	(prob=0.0002,cumulative=0.9381)
527	20	(prob=0.0002,cumulative=0.9383)
528	19	(prob=0.0002,cumulative=0.9385)
529	23	(prob=0.0002,cumulative=0.9387)
