intron	length	distribution
446	20	(prob=0.0002,cumulative=0.9144)
447	19	(prob=0.0002,cumulative=0.9146)
448	16	(prob=0.0002,cumulative=0.9148)
449	18	(prob=0.0002,cumulative=0.9150)
450	14	(prob=0.0002,cumulative=0.9152)
451	14	(prob=0.0002,cumulative=0.9153)
452	14	(prob=0.0002,cumulative=0.9155)
453	16	(prob=0.0002,cumulative=0.9157)
454	17	(prob=0.0002,cumulative=0.9159)
455	14	(prob=0.0002,cumulative=0.9161)
456	11	(prob=0.0001,cumulative=0.9162)
457	14	(prob=0.0002,cumulative=0.9164)
458	17	(prob=0.0002,cumulative=0.9166)
459	11	(prob=0.0001,cumulative=0.9167)
460	20	(prob=0.0002,cumulative=0.9169)
461	13	(prob=0.0002,cumulative=0.9171)
462	19	(prob=0.0002,cumulative=0.9173)
463	13	(prob=0.0002,cumulative=0.9175)
464	18	(prob=0.0002,cumulative=0.9177)
465	19	(prob=0.0002,cumulative=0.9179)
466	17	(prob=0.0002,cumulative=0.9181)
467	21	(prob=0.0003,cumulative=0.9184)
468	17	(prob=0.0002,cumulative=0.9186)
469	26	(prob=0.0003,cumulative=0.9189)
470	8	(prob=0.0001,cumulative=0.9190)
471	19	(prob=0.0002,cumulative=0.9192)
472	23	(prob=0.0003,cumulative=0.9195)
473	17	(prob=0.0002,cumulative=0.9197)
474	19	(prob=0.0002,cumulative=0.9199)
475	16	(prob=0.0002,cumulative=0.9201)
476	20	(prob=0.0002,cumulative=0.9203)
477	23	(prob=0.0003,cumulative=0.9206)
478	14	(prob=0.0002,cumulative=0.9208)
479	11	(prob=0.0001,cumulative=0.9209)
480	15	(prob=0.0002,cumulative=0.9211)
481	17	(prob=0.0002,cumulative=0.9213)
482	11	(prob=0.0001,cumulative=0.9214)
483	20	(prob=0.0002,cumulative=0.9217)
484	16	(prob=0.0002,cumulative=0.9219)
485	19	(prob=0.0002,cumulative=0.9221)
486	14	(prob=0.0002,cumulative=0.9223)
487	9	(prob=0.0001,cumulative=0.9224)
488	14	(prob=0.0002,cumulative=0.9225)
489	10	(prob=0.0001,cumulative=0.9226)
490	7	(prob=0.0001,cumulative=0.9227)
491	17	(prob=0.0002,cumulative=0.9229)
492	18	(prob=0.0002,cumulative=0.9231)
493	18	(prob=0.0002,cumulative=0.9234)
494	15	(prob=0.0002,cumulative=0.9235)
495	19	(prob=0.0002,cumulative=0.9238)
496	17	(prob=0.0002,cumulative=0.9240)
497	14	(prob=0.0002,cumulative=0.9241)
498	19	(prob=0.0002,cumulative=0.9244)
499	19	(prob=0.0002,cumulative=0.9246)
500	11	(prob=0.0001,cumulative=0.9247)
501	12	(prob=0.0001,cumulative=0.9249)
502	15	(prob=0.0002,cumulative=0.9250)
503	15	(prob=0.0002,cumulative=0.9252)
504	16	(prob=0.0002,cumulative=0.9254)
505	10	(prob=0.0001,cumulative=0.9255)
506	11	(prob=0.0001,cumulative=0.9257)
507	10	(prob=0.0001,cumulative=0.9258)
508	11	(prob=0.0001,cumulative=0.9259)
509	13	(prob=0.0002,cumulative=0.9261)
510	9	(prob=0.0001,cumulative=0.9262)
511	12	(prob=0.0001,cumulative=0.9263)
